"from","to","strength","direction"
"D1","D2",0.496,0.528225806451613
"D1","D4",0.642,0.467289719626168
"D1","D5",0.388,0.685567010309278
"D1","D6",0.68,0.280882352941177
"D1","D7",0.584,0.236301369863014
"D1","D8",0.58,0.351724137931034
"D1","D9",0.482,0.522821576763486
"D1","D10",0.59,0.508474576271186
"D1","D11",0.282,0.25531914893617
"D1","D15",0.096,0.395833333333333
"D1","D17",0.206,0.684466019417476
"D1","D18",0.884,0.407239819004525
"D1","D19",0.826,0.588377723970944
"D1","D20",0.458,0.255458515283843
"D1","D21",0.368,0.695652173913043
"D1","D22",0.192,0.3125
"D1","D23",0.69,0.510144927536232
"D1","D24",0.324,0.253086419753086
"D1","D26",0.474,0.383966244725738
"D1","D29",0.624,0.469551282051282
"D1","D30",0.704,0.475852272727273
"D1","D32",0.446,0.502242152466368
"D1","D34",0.804,0.468905472636816
"D1","D36",0.482,0.390041493775934
"D1","D37",0.272,0.323529411764706
"D1","D42",0.624,0.371794871794872
"D2","D1",0.496,0.471774193548387
"D2","D4",0.022,0.318181818181818
"D2","D5",0.282,0.460992907801418
"D2","D6",0.582,0.412371134020618
"D2","D7",0.454,0.47136563876652
"D2","D8",0.038,0.289473684210526
"D2","D9",0.054,0.462962962962963
"D2","D10",0.02,0.7
"D2","D11",0.066,0.363636363636364
"D2","D15",0.36,0.219444444444444
"D2","D17",0.382,0.75392670157068
"D2","D18",0.484,0.332644628099174
"D2","D19",0.422,0.545023696682464
"D2","D20",0.874,0.245995423340961
"D2","D21",0.402,0.345771144278607
"D2","D22",0.34,0.352941176470588
"D2","D23",0.388,0.301546391752577
"D2","D24",0.18,0.466666666666667
"D2","D26",0.532,0.424812030075188
"D2","D29",0.156,0.5
"D2","D30",0.502,0.448207171314741
"D2","D32",0.258,0.624031007751938
"D2","D34",0.596,0.61744966442953
"D2","D36",0.188,0.436170212765957
"D2","D37",0.06,0.366666666666667
"D2","D42",0.242,0.495867768595041
"D4","D1",0.642,0.532710280373832
"D4","D2",0.022,0.681818181818182
"D4","D5",0.208,0.576923076923077
"D4","D6",0.652,0.455521472392638
"D4","D7",0.234,0.235042735042735
"D4","D8",0.654,0.415902140672783
"D4","D9",0.464,0.646551724137931
"D4","D10",0.91,0.882417582417582
"D4","D11",0.288,0.215277777777778
"D4","D15",0.938,0.0810234541577825
"D4","D17",0.054,0.666666666666667
"D4","D18",0.432,0.513888888888889
"D4","D19",0.21,0.661904761904762
"D4","D20",0.11,0.627272727272727
"D4","D21",0.102,0.568627450980392
"D4","D22",0.004,0.5
"D4","D23",0.606,0.488448844884488
"D4","D24",0.354,0.206214689265537
"D4","D26",0.242,0.855371900826446
"D4","D29",0.958,0.90187891440501
"D4","D30",0.306,0.584967320261438
"D4","D32",0.736,0.408967391304348
"D4","D34",0.43,0.653488372093023
"D4","D36",0.262,0.526717557251908
"D4","D37",0.362,0.37292817679558
"D4","D42",0.294,0.857142857142857
"D5","D1",0.388,0.314432989690722
"D5","D2",0.282,0.539007092198581
"D5","D4",0.208,0.423076923076923
"D5","D6",0.584,0.138698630136986
"D5","D7",0.394,0.560913705583756
"D5","D8",0.626,0.460063897763578
"D5","D9",0.842,0.214964370546318
"D5","D10",0.28,0.55
"D5","D11",0.244,0.221311475409836
"D5","D15",0.188,0.23936170212766
"D5","D17",0.06,0.666666666666667
"D5","D18",0.648,0.415123456790123
"D5","D19",0.336,0.553571428571429
"D5","D20",0.074,0.527027027027027
"D5","D21",0.262,0.396946564885496
"D5","D22",0.17,0.347058823529412
"D5","D23",0.332,0.331325301204819
"D5","D24",0.218,0.307339449541284
"D5","D26",0.272,0.209558823529412
"D5","D29",0.16,0.3875
"D5","D30",0.674,0.431750741839763
"D5","D32",0.53,0.345283018867925
"D5","D34",0.166,0.451807228915663
"D5","D36",0.316,0.170886075949367
"D5","D37",0.136,0.323529411764706
"D5","D42",0.59,0.338983050847458
"D6","D1",0.68,0.719117647058824
"D6","D2",0.582,0.587628865979381
"D6","D4",0.652,0.544478527607362
"D6","D5",0.584,0.861301369863014
"D6","D7",0.38,0.489473684210526
"D6","D8",0.464,0.635775862068966
"D6","D9",0.176,0.517045454545455
"D6","D10",0.182,0.769230769230769
"D6","D11",0.294,0.285714285714286
"D6","D15",0.892,0.0661434977578475
"D6","D17",0.066,0.575757575757576
"D6","D18",0.828,0.541062801932367
"D6","D19",0.422,0.632701421800948
"D6","D20",0.25,0.584
"D6","D21",0.274,0.507299270072993
"D6","D22",0.604,0.283112582781457
"D6","D23",0.72,0.608333333333333
"D6","D24",0.556,0.22841726618705
"D6","D26",0.64,0.653125
"D6","D29",0.578,0.743944636678201
"D6","D30",0.248,0.532258064516129
"D6","D32",0.692,0.579479768786127
"D6","D34",0.334,0.682634730538922
"D6","D36",0.822,0.507299270072993
"D6","D37",0.274,0.397810218978102
"D6","D42",0.264,0.59469696969697
"D7","D1",0.584,0.763698630136986
"D7","D2",0.454,0.52863436123348
"D7","D4",0.234,0.764957264957265
"D7","D5",0.394,0.439086294416244
"D7","D6",0.38,0.510526315789474
"D7","D8",0.364,0.524725274725275
"D7","D9",0.356,0.432584269662921
"D7","D10",0.438,0.858447488584475
"D7","D11",0.09,0.522222222222222
"D7","D15",0.138,0.297101449275362
"D7","D17",0.174,0.505747126436782
"D7","D18",0.364,0.401098901098901
"D7","D19",0.354,0.757062146892655
"D7","D20",0.434,0.361751152073733
"D7","D21",0.608,0.450657894736842
"D7","D22",0.424,0.202830188679245
"D7","D23",0.46,0.517391304347826
"D7","D24",0.348,0.801724137931034
"D7","D26",0.95,0.909473684210526
"D7","D29",0.542,0.774907749077491
"D7","D30",0.518,0.716216216216216
"D7","D32",0.46,0.721739130434783
"D7","D34",0.422,0.822274881516588
"D7","D36",0.692,0.390173410404624
"D7","D37",1,0.062
"D7","D42",0.39,0.428205128205128
"D8","D1",0.58,0.648275862068966
"D8","D2",0.038,0.710526315789474
"D8","D4",0.654,0.584097859327217
"D8","D5",0.626,0.539936102236422
"D8","D6",0.464,0.364224137931035
"D8","D7",0.364,0.475274725274725
"D8","D9",0.27,0.433333333333333
"D8","D10",0.754,0.785145888594164
"D8","D11",0.164,0.378048780487805
"D8","D15",0.078,0.294871794871795
"D8","D17",0.06,0.583333333333333
"D8","D18",0.546,0.525641025641026
"D8","D19",0.822,0.768856447688564
"D8","D20",0.748,0.495989304812834
"D8","D21",0.126,0.619047619047619
"D8","D22",0.028,0.357142857142857
"D8","D23",0.348,0.497126436781609
"D8","D24",0.486,0.594650205761317
"D8","D26",0.14,0.45
"D8","D29",0.398,0.587939698492462
