"Date","Unemployment_Rate"
2004-03-31,26.7
2004-06-30,26.8275
2004-09-30,26.955
2005-03-31,27.0825
2005-03-31,27.21
2005-06-30,27.33
2005-09-30,27.45
2006-03-31,27.57
2006-03-31,27.69
2006-06-30,27.84
2006-09-30,27.99
2007-03-31,28.14
2007-03-31,28.29
2007-06-30,28.18
2007-09-30,28.07
2008-03-31,27.96
2008-03-31,27.85
2008-06-30,27.7375
2008-09-30,27.625
2009-03-31,27.5125
2009-03-31,27.4
2009-06-30,27.2375
2009-09-30,27.075
2010-03-31,26.9125
2010-03-31,26.75
2010-06-30,26.56
2010-09-30,26.37
2011-03-31,26.18
2011-03-31,25.99
2011-06-30,25.7725
2011-09-30,25.555
2012-03-31,25.3375
2012-03-31,25.12
2012-06-30,24.9475
2012-09-30,24.775
2013-03-31,24.6025
2013-03-31,24.43
2013-06-30,24.2775
2013-09-30,24.125
2014-03-31,23.9725
2014-03-31,23.82
2014-06-30,23.685
2014-09-30,23.55
2015-03-31,23.415
2015-03-31,23.28
2015-06-30,23.14
2015-09-30,23
2016-03-31,22.86
2016-03-31,22.72
2016-06-30,23.2475
2016-09-30,23.775
2017-03-31,24.3025
2017-03-31,24.83
2017-06-30,25.3675
2017-09-30,25.905
2018-03-31,26.4425
2018-03-31,26.98
2018-06-30,27.4975
2018-09-30,28.015
2019-03-31,28.5325
2019-03-31,29.05
2019-06-30,30.345
2019-09-30,31.64
2020-03-31,32.935
2020-03-31,34.23
2020-06-30,34.6
2020-09-30,34.97
2021-03-31,35.34
2021-03-31,35.71
2021-06-30,36.245
2021-09-30,36.78
2022-03-31,37.315
2022-03-31,37.85
2022-06-30,37.7975
2022-09-30,37.745
2023-03-31,37.6925
2023-03-31,37.64
2023-06-30,37.64
2023-09-30,37.64
2024-03-31,37.64
2024-06-30,37.64
